left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,Activity
311.93,78.23,28.35,27.78,339.02,17.92,262.63,105.03,Sitting
311.35,80.47,27.85,27.63,338.93,18.31,261.76,104.28,Sitting
311.77,80.84,27.48,27.0,338.97,17.81,261.83,104.68,Sitting
311.61,81.97,27.25,27.0,339.1,17.81,261.83,104.68,Sitting
311.61,82.48,27.25,27.18,339.05,17.81,262.29,104.68,Sitting
311.61,82.25,27.33,27.0,338.97,17.42,261.42,106.42,Sitting
311.61,80.32,27.33,27.6,338.97,17.48,261.49,107.41,Sitting
311.89,82.15,27.17,27.72,339.02,17.37,260.63,107.36,Sitting
311.89,82.21,27.17,28.45,339.02,17.37,260.63,107.36,Sitting
311.89,82.4,27.63,28.26,338.57,17.37,259.86,107.36,Sitting
311.89,80.7,27.63,28.47,338.57,17.09,259.93,107.82,Sitting
311.89,80.7,27.63,28.47,338.52,17.14,260.77,106.86,Sitting
311.89,80.94,27.63,28.94,338.52,17.03,260.77,106.86,Sitting
311.18,80.94,27.78,28.94,338.52,17.03,260.77,106.86,Sitting
311.18,80.22,27.78,29.46,338.52,17.03,260.77,106.86,Sitting
311.18,80.22,27.78,29.46,338.52,17.03,260.77,106.86,Sitting
311.18,80.22,27.78,29.46,338.52,17.09,260.77,105.88,Sitting
311.18,79.48,27.78,29.26,338.52,17.09,260.77,105.88,Sitting
310.3,79.48,27.7,29.26,338.6,17.09,261.62,105.88,Sitting
310.72,78.7,27.78,29.26,338.85,17.09,260.09,105.84,Sitting
310.72,78.87,28.16,29.26,338.48,17.09,260.43,105.84,Sitting
311.61,79.05,28.24,28.93,338.39,16.76,259.93,107.32,Sitting
311.77,77.57,28.49,28.85,338.25,16.91,259.93,107.64,Sitting
311.61,76.76,28.24,28.32,338.29,16.84,261.82,103.96,Sitting
312.48,74.54,27.29,27.77,339.05,16.93,261.7,100.94,Sitting
310.98,72.65,25.15,27.86,339.56,17.21,263.11,98.24,Sitting
311.65,73.13,24.47,27.73,339.6,17.23,262.61,98.24,Sitting
312.0,73.91,24.39,28.23,339.94,17.55,264.41,96.79,Sitting
310.98,75.17,24.62,29.51,340.43,17.48,264.18,93.74,Sitting
310.05,74.36,25.08,30.17,340.5,17.78,263.71,92.31,Sitting
311.37,74.65,25.15,30.31,340.91,17.46,262.57,91.32,Sitting
310.95,74.48,25.15,29.97,340.91,17.42,262.85,92.86,Sitting
310.95,74.08,25.07,29.85,341.32,16.89,263.13,94.23,Sitting
311.29,75.98,25.3,29.08,340.99,16.55,262.77,96.85,Sitting
310.37,76.25,25.67,29.22,340.71,15.78,261.24,99.03,Sitting
311.41,77.05,26.3,29.15,340.96,15.55,259.33,100.98,Sitting
310.6,79.1,26.89,29.09,341.17,14.9,257.59,103.74,Sitting
309.64,80.87,26.89,28.91,341.83,14.48,255.76,106.21,Sitting
309.12,81.56,26.89,29.17,341.5,14.53,256.19,107.84,Sitting
307.97,82.1,26.75,28.75,342.16,14.16,254.97,107.74,Sitting
307.09,82.23,26.89,29.29,342.49,14.16,254.57,108.43,Sitting
306.84,80.91,26.47,28.45,342.85,13.41,256.1,107.72,Sitting
306.34,80.0,26.95,29.13,343.56,13.43,258.25,104.04,Sitting
306.4,81.47,27.65,28.55,343.54,13.02,259.42,103.24,Sitting
306.28,81.15,28.2,28.66,343.2,12.59,259.89,102.36,Sitting
305.36,81.15,28.32,28.66,343.69,12.63,258.8,101.09,Sitting
306.36,80.22,28.79,28.4,343.79,12.22,259.22,100.43,Sitting
307.3,80.74,29.15,27.88,343.24,11.83,255.89,103.17,Sitting
306.82,80.74,30.05,27.88,343.61,12.13,255.24,106.21,Sitting
306.21,79.85,30.99,28.4,343.81,12.38,256.43,110.2,Sitting
306.54,80.56,31.72,28.73,343.83,12.71,255.95,108.22,Sitting
306.89,80.4,31.56,28.0,344.36,12.33,255.63,110.62,Sitting
357.74,75.28,21.9,14.93,327.11,8.29,284.13,44.26,Sitting
21.16,80.22,16.58,14.01,325.64,9.34,285.19,44.1,Sitting
27.43,74.98,16.04,15.16,325.3,10.84,284.51,50.28,Sitting
29.74,73.37,16.66,15.54,324.02,11.46,284.33,48.77,Sitting
26.38,73.53,17.95,15.8,324.48,12.53,281.32,57.71,Sitting
22.71,73.7,17.65,16.42,324.27,13.27,281.88,61.78,Sitting
17.34,72.33,17.89,15.85,324.56,12.88,281.27,64.56,Sitting
12.99,73.61,18.95,15.3,324.21,12.4,281.26,60.61,Sitting
17.82,73.08,19.04,15.09,323.68,11.25,281.42,59.37,Sitting
11.68,71.39,19.57,16.11,323.21,10.81,280.81,57.37,Sitting
5.34,71.39,20.32,14.99,322.31,9.29,281.46,54.69,Sitting
5.39,71.73,21.12,14.3,321.76,8.84,281.67,56.45,Sitting
5.39,70.88,21.12,14.3,321.76,8.88,281.67,52.32,Sitting
4.9,70.88,20.9,14.19,321.85,8.8,281.94,44.71,Sitting
4.9,70.88,20.9,14.12,321.85,8.73,281.94,41.35,Sitting
